OrderLineID,TransactionID,ProductID,Quantity,UnitPrice,Discount,LineTotal
"OL-152","TRN-9060","P101","2","85","0.05","161.5"
"OL-153","TRN-9061","C304","1","58","0.1","52.2"
"OL-154","TRN-9061","C304","3","58","0.1","156.6"
"OL-155","TRN-9061","P102","2","80","0.1","144"
"OL-156","TRN-9061","P102","2","80","0.1","144"
"OL-157","TRN-9062","P103","2","95","0.05","180.5"
"OL-158","TRN-9063","C304","3","58","0","174"
"OL-159","TRN-9063","P202","2","65","0","130"
"OL-160","TRN-9064","C303","2","60","0","120"
"OL-161","TRN-9064","P102","3","80","0","240"
"OL-162","TRN-9064","C304","3","58","0","174"
"OL-163","TRN-9064","C301","3","55","0","165"
"OL-164","TRN-9065","C302","2","50","0","100"
"OL-165","TRN-9066","C303","3","60","0","180"
"OL-166","TRN-9066","C301","3","55","0","165"
"OL-167","TRN-9066","C302","2","50","0","100"
"OL-168","TRN-9067","P103","1","95","0.15","80.75"
"OL-169","TRN-9067","C302","2","50","0.15","85"
"OL-170","TRN-9067","P203","2","68","0.15","115.6"
"OL-171","TRN-9067","P201","1","70","0.15","59.5"
"OL-172","TRN-9068","P103","3","95","0","285"
"OL-173","TRN-9068","P202","2","65","0","130"
"OL-174","TRN-9069","P102","1","80","0","80"
"OL-175","TRN-9069","P103","3","95","0","285"
"OL-176","TRN-9069","P103","2","95","0","190"
"OL-177","TRN-9069","P103","1","95","0","95"
"OL-178","TRN-9070","P201","1","70","0","70"
"OL-179","TRN-9070","P101","3","85","0","255"
"OL-180","TRN-9071","P202","3","65","0","195"
"OL-181","TRN-9072","P102","3","80","0","240"
"OL-182","TRN-9072","C303","2","60","0","120"
"OL-183","TRN-9072","C303","2","60","0","120"
"OL-184","TRN-9073","P201","2","70","0.15","119"
"OL-185","TRN-9073","P102","2","80","0.15","136"
"OL-186","TRN-9073","P203","3","68","0.15","173.4"
"OL-187","TRN-9073","P101","3","85","0.15","216.75"
"OL-188","TRN-9074","P101","3","85","0","255"
"OL-189","TRN-9074","P103","3","95","0","285"
"OL-190","TRN-9074","C304","3","58","0","174"
"OL-191","TRN-9075","P101","2","85","0","170"
"OL-192","TRN-9075","C304","1","58","0","58"
"OL-193","TRN-9075","C302","3","50","0","150"
"OL-194","TRN-9076","C301","3","55","0","165"
"OL-195","TRN-9076","P203","2","68","0","136"
"OL-196","TRN-9077","P102","2","80","0","160"
"OL-197","TRN-9078","P101","2","85","0.05","161.5"
"OL-198","TRN-9079","P101","1","85","0","85"
"OL-199","TRN-9079","P201","1","70","0","70"
"OL-200","TRN-9079","P102","2","80","0","160"
"OL-201","TRN-9080","C303","1","60","0","60"
"OL-202","TRN-9080","C302","3","50","0","150"
"OL-203","TRN-9080","P103","1","95","0","95"
"OL-204","TRN-9080","C303","1","60","0","60"
"OL-205","TRN-9081","P102","2","80","0","160"
"OL-206","TRN-9081","C303","1","60","0","60"
"OL-207","TRN-9081","P203","3","68","0","204"
"OL-208","TRN-9081","C304","2","58","0","116"
"OL-209","TRN-9082","P101","2","85","0","170"
"OL-210","TRN-9082","C303","1","60","0","60"
"OL-211","TRN-9083","P103","1","95","0","95"
"OL-212","TRN-9083","P102","2","80","0","160"
"OL-213","TRN-9083","P101","1","85","0","85"
"OL-214","TRN-9084","P201","1","70","0","70"
"OL-215","TRN-9084","C302","2","50","0","100"
"OL-216","TRN-9085","P201","3","70","0","210"
"OL-217","TRN-9085","P103","3","95","0","285"
"OL-218","TRN-9086","P103","1","95","0.05","90.25"
"OL-219","TRN-9086","C304","3","58","0.05","165.3"
"OL-220","TRN-9086","C302","2","50","0.05","95"
"OL-221","TRN-9087","P201","3","70","0","210"
"OL-222","TRN-9087","P102","3","80","0","240"
"OL-223","TRN-9088","C303","2","60","0.15","102"
"OL-224","TRN-9089","C304","2","58","0","116"
"OL-225","TRN-9089","P202","1","65","0","65"
"OL-226","TRN-9089","P202","3","65","0","195"
"OL-227","TRN-9089","P103","1","95","0","95"
"OL-228","TRN-9090","P101","2","85","0","170"
"OL-229","TRN-9090","C301","2","55","0","110"
"OL-230","TRN-9090","P203","1","68","0","68"
"OL-231","TRN-9091","P103","3","95","0","285"
"OL-232","TRN-9092","P201","3","70","0","210"
"OL-233","TRN-9093","P101","1","85","0.05","80.75"
"OL-234","TRN-9093","P203","2","68","0.05","129.2"
"OL-235","TRN-9093","P103","1","95","0.05","90.25"
"OL-236","TRN-9094","P201","2","70","0.1","126"
"OL-237","TRN-9094","P102","3","80","0.1","216"
"OL-238","TRN-9095","C301","3","55","0","165"
"OL-239","TRN-9096","P101","2","85","0","170"
"OL-240","TRN-9096","P103","3","95","0","285"
"OL-241","TRN-9096","C303","1","60","0","60"
"OL-242","TRN-9097","P101","1","85","0.1","76.5"
"OL-243","TRN-9097","P201","3","70","0.1","189"
"OL-244","TRN-9097","P202","3","65","0.1","175.5"
"OL-245","TRN-9098","P102","2","80","0","160"
"OL-246","TRN-9098","P101","2","85","0","170"
"OL-247","TRN-9098","P101","1","85","0","85"
"OL-248","TRN-9098","P103","2","95","0","190"
"OL-249","TRN-9099","C303","2","60","0","120"
"OL-250","TRN-9099","C302","3","50","0","150"
"OL-251","TRN-9099","P202","3","65","0","195"
"OL-252","TRN-9099","C303","1","60","0","60"
"OL-253","TRN-9100","P203","3","68","0.15","173.4"
"OL-254","TRN-9100","P202","1","65","0.15","55.25"
"OL-255","TRN-9101","C303","2","60","0","120"
"OL-256","TRN-9101","C303","3","60","0","180"
"OL-257","TRN-9101","P201","1","70","0","70"
"OL-258","TRN-9101","P203","1","68","0","68"
"OL-259","TRN-9102","P201","1","70","0","70"
"OL-260","TRN-9103","P202","3","65","0","195"
"OL-261","TRN-9104","P201","1","70","0","70"
"OL-262","TRN-9104","C304","3","58","0","174"
"OL-263","TRN-9105","C301","3","55","0","165"
"OL-264","TRN-9105","C301","2","55","0","110"
"OL-265","TRN-9105","C302","3","50","0","150"
"OL-266","TRN-9105","P201","1","70","0","70"
"OL-267","TRN-9106","P102","3","80","0","240"
"OL-268","TRN-9106","P202","3","65","0","195"
"OL-269","TRN-9106","C301","2","55","0","110"
"OL-270","TRN-9106","P203","1","68","0","68"
"OL-271","TRN-9107","P202","3","65","0","195"
"OL-272","TRN-9107","P103","1","95","0","95"
"OL-273","TRN-9108","C302","1","50","0","50"
"OL-274","TRN-9108","P202","2","65","0","130"
"OL-275","TRN-9109","P202","2","65","0","130"
"OL-276","TRN-9109","P102","2","80","0","160"
"OL-277","TRN-9109","P202","1","65","0","65"
"OL-278","TRN-9109","P102","2","80","0","160"
"OL-279","TRN-9110","P101","3","85","0.05","242.25"
"OL-280","TRN-9110","C302","3","50","0.05","142.5"
"OL-281","TRN-9111","P202","2","65","0","130"
"OL-282","TRN-9111","P203","2","68","0","136"
"OL-283","TRN-9111","P101","3","85","0","255"
"OL-284","TRN-9111","C301","1","55","0","55"
"OL-285","TRN-9112","P201","1","70","0","70"
"OL-286","TRN-9112","P203","3","68","0","204"
"OL-287","TRN-9113","C302","1","50","0","50"
"OL-288","TRN-9114","C301","2","55","0","110"
"OL-289","TRN-9114","P102","1","80","0","80"
"OL-290","TRN-9115","P202","2","65","0","130"
"OL-291","TRN-9116","P201","2","70","0.05","133"
"OL-292","TRN-9116","P201","3","70","0.05","199.5"
"OL-293","TRN-9116","P102","1","80","0.05","76"
"OL-294","TRN-9117","P103","2","95","0","190"
"OL-295","TRN-9117","C302","3","50","0","150"
"OL-296","TRN-9117","P203","3","68","0","204"
"OL-297","TRN-9117","P201","1","70","0","70"
"OL-298","TRN-9118","P201","2","70","0","140"
"OL-299","TRN-9118","P101","3","85","0","255"
"OL-300","TRN-9118","P202","1","65","0","65"
"OL-301","TRN-9118","P103","1","95","0","95"
"OL-302","TRN-9119","P102","2","80","0","160"
"OL-303","TRN-9119","C303","3","60","0","180"
"OL-304","TRN-9119","P102","3","80","0","240"
"OL-305","TRN-9120","C301","1","55","0.1","49.5"
"OL-306","TRN-9120","C303","3","60","0.1","162"
"OL-307","TRN-9120","P201","2","70","0.1","126"
"OL-308","TRN-9121","P103","2","95","0","190"
"OL-309","TRN-9121","P203","2","68","0","136"
"OL-310","TRN-9121","P202","2","65","0","130"
"OL-311","TRN-9122","C302","3","50","0","150"
"OL-312","TRN-9122","P101","1","85","0","85"
"OL-313","TRN-9123","C301","3","55","0","165"
"OL-314","TRN-9123","C303","3","60","0","180"
"OL-315","TRN-9124","P102","1","80","0","80"
"OL-316","TRN-9124","C304","1","58","0","58"
"OL-317","TRN-9124","C302","3","50","0","150"
"OL-318","TRN-9125","C302","3","50","0","150"
"OL-319","TRN-9126","C303","1","60","0","60"
"OL-320","TRN-9127","P202","3","65","0.15","165.75"
"OL-321","TRN-9127","C303","2","60","0.15","102"
"OL-322","TRN-9127","P203","2","68","0.15","115.6"
"OL-323","TRN-9127","P101","3","85","0.15","216.75"
"OL-324","TRN-9128","C304","1","58","0","58"
"OL-325","TRN-9128","C304","1","58","0","58"
"OL-326","TRN-9128","C301","3","55","0","165"
"OL-327","TRN-9128","P101","3","85","0","255"
"OL-328","TRN-9129","C304","3","58","0","174"
"OL-329","TRN-9130","P203","2","68","0","136"
"OL-330","TRN-9131","P103","1","95","0.1","85.5"
"OL-331","TRN-9131","P102","3","80","0.1","216"
"OL-332","TRN-9131","P203","2","68","0.1","122.4"
"OL-333","TRN-9131","P102","3","80","0.1","216"
"OL-334","TRN-9132","P103","3","95","0","285"
"OL-335","TRN-9132","C302","1","50","0","50"
"OL-336","TRN-9132","C304","1","58","0","58"
"OL-337","TRN-9133","C303","1","60","0.1","54"
"OL-338","TRN-9134","C304","1","58","0.05","55.1"
"OL-339","TRN-9135","C301","2","55","0","110"
"OL-340","TRN-9135","P101","2","85","0","170"
"OL-341","TRN-9135","P201","2","70","0","140"
"OL-342","TRN-9135","P202","3","65","0","195"
"OL-343","TRN-9136","C304","1","58","0","58"
"OL-344","TRN-9137","C304","2","58","0","116"
"OL-345","TRN-9137","P203","3","68","0","204"
"OL-346","TRN-9137","P203","3","68","0","204"
"OL-347","TRN-9137","P201","1","70","0","70"
"OL-348","TRN-9138","P102","3","80","0","240"
"OL-349","TRN-9138","C301","1","55","0","55"
"OL-350","TRN-9138","P202","1","65","0","65"
"OL-351","TRN-9139","P202","2","65","0","130"
"OL-352","TRN-9139","C304","1","58","0","58"
"OL-353","TRN-9139","C302","2","50","0","100"
"OL-354","TRN-9140","C304","1","58","0","58"
"OL-355","TRN-9140","P102","3","80","0","240"
"OL-356","TRN-9141","C303","1","60","0","60"
"OL-357","TRN-9141","P203","1","68","0","68"
"OL-358","TRN-9141","C301","2","55","0","110"
"OL-359","TRN-9141","P202","1","65","0","65"
"OL-360","TRN-9142","C302","2","50","0.1","90"
"OL-361","TRN-9142","P201","2","70","0.1","126"
"OL-362","TRN-9143","P203","1","68","0","68"
"OL-363","TRN-9143","C303","1","60","0","60"
"OL-364","TRN-9143","P203","3","68","0","204"
"OL-365","TRN-9144","P102","3","80","0","240"
"OL-366","TRN-9144","P103","1","95","0","95"
"OL-367","TRN-9145","P101","2","85","0","170"
"OL-368","TRN-9145","P201","2","70","0","140"
"OL-369","TRN-9146","C302","2","50","0.05","95"
"OL-370","TRN-9146","C301","1","55","0.05","52.25"
"OL-371","TRN-9146","P202","3","65","0.05","185.25"
"OL-372","TRN-9147","P103","1","95","0.05","90.25"
"OL-373","TRN-9147","C302","3","50","0.05","142.5"
"OL-374","TRN-9147","P202","2","65","0.05","123.5"
"OL-375","TRN-9147","C302","2","50","0.05","95"
"OL-376","TRN-9148","C304","1","58","0","58"
"OL-377","TRN-9148","C303","2","60","0","120"
"OL-378","TRN-9149","P101","2","85","0","170"
"OL-379","TRN-9150","P101","3","85","0","255"
"OL-380","TRN-9151","P202","2","65","0","130"
"OL-381","TRN-9152","P102","1","80","0","80"
"OL-382","TRN-9152","P201","2","70","0","140"
"OL-383","TRN-9152","P102","1","80","0","80"
"OL-384","TRN-9152","P202","1","65","0","65"
"OL-385","TRN-9153","P201","1","70","0","70"
"OL-386","TRN-9154","P203","2","68","0","136"
"OL-387","TRN-9154","C304","3","58","0","174"
"OL-388","TRN-9154","P102","3","80","0","240"
"OL-389","TRN-9155","P103","1","95","0.1","85.5"
"OL-390","TRN-9156","P101","2","85","0","170"
"OL-391","TRN-9157","C303","2","60","0","120"
"OL-392","TRN-9158","P103","2","95","0","190"
"OL-393","TRN-9158","P203","2","68","0","136"
"OL-394","TRN-9158","C302","3","50","0","150"
"OL-395","TRN-9158","C301","1","55","0","55"
"OL-396","TRN-9159","C302","3","50","0.05","142.5"
"OL-397","TRN-9159","C302","3","50","0.05","142.5"
"OL-398","TRN-9160","P201","2","70","0.05","133"
"OL-399","TRN-9161","P203","2","68","0.1","122.4"
"OL-400","TRN-9162","P103","3","95","0.15","242.25"
"OL-401","TRN-9163","C301","1","55","0.15","46.75"
"OL-402","TRN-9164","P201","3","70","0","210"
"OL-403","TRN-9164","C301","3","55","0","165"
"OL-404","TRN-9165","P102","3","80","0.15","204"
"OL-405","TRN-9165","C303","2","60","0.15","102"
"OL-406","TRN-9165","P202","2","65","0.15","110.5"
"OL-407","TRN-9165","P102","3","80","0.15","204"
"OL-408","TRN-9166","C304","1","58","0.15","49.3"
"OL-409","TRN-9166","C304","1","58","0.15","49.3"
"OL-410","TRN-9166","C302","3","50","0.15","127.5"
"OL-411","TRN-9167","P102","1","80","0","80"
"OL-412","TRN-9167","P101","1","85","0","85"
"OL-413","TRN-9168","P102","2","80","0","160"
"OL-414","TRN-9168","C303","1","60","0","60"
"OL-415","TRN-9168","P102","1","80","0","80"
"OL-416","TRN-9169","P203","3","68","0","204"
"OL-417","TRN-9170","C304","2","58","0","116"
"OL-418","TRN-9170","C304","3","58","0","174"
"OL-419","TRN-9170","C304","2","58","0","116"
"OL-420","TRN-9171","P101","3","85","0.1","229.5"
"OL-421","TRN-9171","C304","3","58","0.1","156.6"
"OL-422","TRN-9171","P102","3","80","0.1","216"
"OL-423","TRN-9171","P203","3","68","0.1","183.6"
"OL-424","TRN-9172","C304","3","58","0","174"
"OL-425","TRN-9172","C301","2","55","0","110"
"OL-426","TRN-9173","C301","2","55","0","110"
"OL-427","TRN-9173","C302","2","50","0","100"
"OL-428","TRN-9174","P201","1","70","0","70"
"OL-429","TRN-9174","P101","2","85","0","170"
"OL-430","TRN-9175","P103","1","95","0","95"
"OL-431","TRN-9175","P201","1","70","0","70"
"OL-432","TRN-9176","P202","3","65","0","195"
"OL-433","TRN-9176","C303","1","60","0","60"
"OL-434","TRN-9176","P202","2","65","0","130"
"OL-435","TRN-9176","C301","2","55","0","110"
"OL-436","TRN-9177","P103","3","95","0","285"
"OL-437","TRN-9177","P201","3","70","0","210"
"OL-438","TRN-9178","C302","2","50","0.15","85"
"OL-439","TRN-9179","P202","2","65","0.1","117"
"OL-440","TRN-9179","C303","1","60","0.1","54"
"OL-441","TRN-9179","C302","2","50","0.1","90"
"OL-442","TRN-9179","C301","3","55","0.1","148.5"
"OL-443","TRN-9180","P202","1","65","0","65"
"OL-444","TRN-9180","P203","2","68","0","136"
"OL-445","TRN-9181","P203","1","68","0","68"
"OL-446","TRN-9181","C301","2","55","0","110"
"OL-447","TRN-9182","P202","2","65","0","130"
"OL-448","TRN-9182","P201","3","70","0","210"
"OL-449","TRN-9182","P203","2","68","0","136"
"OL-450","TRN-9183","C302","3","50","0","150"
"OL-451","TRN-9183","P102","3","80","0","240"
"OL-452","TRN-9183","P203","3","68","0","204"
"OL-453","TRN-9184","P101","3","85","0","255"
"OL-454","TRN-9184","P203","2","68","0","136"
"OL-455","TRN-9184","P202","1","65","0","65"
"OL-456","TRN-9185","C303","2","60","0","120"
"OL-457","TRN-9185","C304","2","58","0","116"
"OL-458","TRN-9186","C301","3","55","0.15","140.25"
"OL-459","TRN-9186","P203","1","68","0.15","57.8"
"OL-460","TRN-9187","C303","1","60","0","60"
"OL-461","TRN-9187","P101","2","85","0","170"
"OL-462","TRN-9187","P202","1","65","0","65"
"OL-463","TRN-9187","C301","3","55","0","165"
"OL-464","TRN-9188","C301","1","55","0.05","52.25"
"OL-465","TRN-9188","P202","3","65","0.05","185.25"
"OL-466","TRN-9188","P202","2","65","0.05","123.5"
"OL-467","TRN-9189","P101","2","85","0","170"
"OL-468","TRN-9189","P101","2","85","0","170"
"OL-469","TRN-9189","C301","1","55","0","55"
"OL-470","TRN-9190","P201","3","70","0.15","178.5"
"OL-471","TRN-9190","P101","1","85","0.15","72.25"
"OL-472","TRN-9190","C301","3","55","0.15","140.25"
"OL-473","TRN-9191","P103","2","95","0","190"
"OL-474","TRN-9191","P201","3","70","0","210"
"OL-475","TRN-9191","C303","1","60","0","60"
"OL-476","TRN-9192","C303","3","60","0","180"
"OL-477","TRN-9192","P101","2","85","0","170"
"OL-478","TRN-9193","C302","1","50","0.15","42.5"
"OL-479","TRN-9193","P203","2","68","0.15","115.6"
"OL-480","TRN-9193","C304","1","58","0.15","49.3"
"OL-481","TRN-9194","C302","2","50","0","100"
"OL-482","TRN-9194","P203","2","68","0","136"
"OL-483","TRN-9195","P102","3","80","0","240"
"OL-484","TRN-9195","P203","1","68","0","68"
"OL-485","TRN-9195","C301","3","55","0","165"
"OL-486","TRN-9195","P202","1","65","0","65"
"OL-487","TRN-9196","P202","3","65","0","195"
"OL-488","TRN-9196","P103","1","95","0","95"
"OL-489","TRN-9196","P102","1","80","0","80"
"OL-490","TRN-9196","P103","3","95","0","285"
"OL-491","TRN-9197","P101","3","85","0","255"
"OL-492","TRN-9197","P201","3","70","0","210"
"OL-493","TRN-9198","P102","3","80","0","240"
"OL-494","TRN-9199","P201","3","70","0","210"
"OL-495","TRN-9199","P202","2","65","0","130"
"OL-496","TRN-9199","P103","2","95","0","190"
"OL-497","TRN-9200","C304","3","58","0","174"
"OL-498","TRN-9200","P203","3","68","0","204"
"OL-499","TRN-9200","P203","2","68","0","136"
"OL-500","TRN-9200","P101","1","85","0","85"
"OL-501","TRN-9201","C302","2","50","0","100"
"OL-502","TRN-9202","P103","1","95","0","95"
"OL-503","TRN-9202","C304","2","58","0","116"
"OL-504","TRN-9202","P101","1","85","0","85"
"OL-505","TRN-9202","P103","2","95","0","190"
"OL-506","TRN-9203","C302","2","50","0.1","90"
"OL-507","TRN-9203","P201","3","70","0.1","189"
"OL-508","TRN-9203","C301","2","55","0.1","99"
"OL-509","TRN-9203","P102","1","80","0.1","72"
"OL-510","TRN-9204","P103","3","95","0","285"
"OL-511","TRN-9204","C301","2","55","0","110"
"OL-512","TRN-9204","P102","3","80","0","240"
"OL-513","TRN-9205","P102","2","80","0.15","136"
"OL-514","TRN-9205","P101","3","85","0.15","216.75"
"OL-515","TRN-9205","P102","3","80","0.15","204"
"OL-516","TRN-9206","P101","1","85","0.15","72.25"
"OL-517","TRN-9206","P101","2","85","0.15","144.5"
"OL-518","TRN-9207","C302","2","50","0.15","85"
"OL-519","TRN-9207","P201","3","70","0.15","178.5"
"OL-520","TRN-9207","P101","1","85","0.15","72.25"
"OL-521","TRN-9208","P203","2","68","0","136"
"OL-522","TRN-9208","P103","2","95","0","190"
"OL-523","TRN-9209","P202","1","65","0","65"
"OL-524","TRN-9210","P202","2","65","0","130"
"OL-525","TRN-9210","C303","3","60","0","180"
"OL-526","TRN-9210","P103","2","95","0","190"
"OL-527","TRN-9211","P102","2","80","0.1","144"
"OL-528","TRN-9211","C301","2","55","0.1","99"
"OL-529","TRN-9211","P101","2","85","0.1","153"
"OL-530","TRN-9211","P103","3","95","0.1","256.5"
"OL-531","TRN-9212","C303","1","60","0","60"
"OL-532","TRN-9212","C304","2","58","0","116"
"OL-533","TRN-9213","P202","1","65","0","65"
"OL-534","TRN-9213","C302","2","50","0","100"
"OL-535","TRN-9213","P103","3","95","0","285"
