ShipmentID,TransactionID,Carrier,ShipDate,DeliveryDate
"SHP-143","TRN-9365","UPS","2025-04-08","2025-04-11"
"SHP-144","TRN-9368","UPS","2025-04-13","2025-04-15"
"SHP-145","TRN-9369","UPS","2023-12-07","2023-12-10"
"SHP-146","TRN-9371","SweetHaul Logistics","2024-12-07","2024-12-09"
"SHP-147","TRN-9376","UPS","2024-05-11","2024-05-14"
"SHP-148","TRN-9377","ChocoExpress","2022-04-11","2022-04-14"
"SHP-149","TRN-9378","SweetHaul Logistics","2024-10-30","2024-11-01"
"SHP-150","TRN-9387","SweetHaul Logistics","2023-12-06","2023-12-10"
"SHP-151","TRN-9392","UPS","2022-09-17","2022-09-19"
"SHP-152","TRN-9394","SweetHaul Logistics","2024-03-01","2024-03-05"
"SHP-153","TRN-9395","ChocoExpress","2023-08-22","2023-08-26"
"SHP-154","TRN-9396","ChocoExpress","2024-08-07","2024-08-13"
"SHP-155","TRN-9397","ChocoExpress","2023-07-05","2023-07-08"
"SHP-156","TRN-9401","ChocoExpress","2023-05-24","2023-05-28"
"SHP-157","TRN-9404","ChocoExpress","2024-04-20","2024-04-22"
"SHP-158","TRN-9405","ChocoExpress","2024-08-17","2024-08-23"
"SHP-159","TRN-9406","UPS","2023-08-31","2023-09-04"
"SHP-160","TRN-9410","ChocoExpress","2023-12-06","2023-12-10"
"SHP-161","TRN-9411","FedEx","2022-02-03","2022-02-07"
"SHP-162","TRN-9415","SweetHaul Logistics","2022-04-28","2022-05-03"
"SHP-163","TRN-9417","UPS","2023-08-01","2023-08-06"
"SHP-164","TRN-9421","UPS","2023-07-07","2023-07-10"
"SHP-165","TRN-9422","ChocoExpress","2024-08-09","2024-08-12"
"SHP-166","TRN-9423","UPS","2022-09-15","2022-09-20"
"SHP-167","TRN-9424","FedEx","2024-03-03","2024-03-06"
"SHP-168","TRN-9428","SweetHaul Logistics","2025-05-02","2025-05-04"
"SHP-169","TRN-9429","UPS","2025-02-10","2025-02-13"
"SHP-170","TRN-9433","ChocoExpress","2025-08-18","2025-08-20"
"SHP-171","TRN-9434","ChocoExpress","2023-07-20","2023-07-23"
"SHP-172","TRN-9439","SweetHaul Logistics","2022-08-14","2022-08-17"
"SHP-173","TRN-9442","FedEx","2022-08-02","2022-08-05"
"SHP-174","TRN-9447","FedEx","2023-05-13","2023-05-17"
"SHP-175","TRN-9452","ChocoExpress","2025-07-16","2025-07-18"
"SHP-176","TRN-9453","UPS","2024-07-31","2024-08-06"
"SHP-177","TRN-9455","ChocoExpress","2024-10-27","2024-10-30"
"SHP-178","TRN-9456","SweetHaul Logistics","2023-05-24","2023-05-26"
"SHP-179","TRN-9457","ChocoExpress","2024-01-30","2024-02-03"
"SHP-180","TRN-9458","ChocoExpress","2024-04-20","2024-04-22"
"SHP-181","TRN-9460","ChocoExpress","2025-07-13","2025-07-19"
"SHP-182","TRN-9464","ChocoExpress","2023-10-28","2023-11-03"
"SHP-183","TRN-9468","ChocoExpress","2023-05-02","2023-05-07"
"SHP-184","TRN-9469","FedEx","2023-07-14","2023-07-18"
"SHP-185","TRN-9472","UPS","2023-03-15","2023-03-21"
"SHP-186","TRN-9480","UPS","2025-09-02","2025-09-04"
"SHP-187","TRN-9483","ChocoExpress","2022-07-13","2022-07-16"
"SHP-188","TRN-9487","UPS","2023-12-14","2023-12-16"
"SHP-189","TRN-9488","SweetHaul Logistics","2024-01-12","2024-01-18"
"SHP-190","TRN-9491","ChocoExpress","2024-08-02","2024-08-07"
"SHP-191","TRN-9494","ChocoExpress","2022-07-03","2022-07-06"
"SHP-192","TRN-9497","UPS","2024-07-17","2024-07-22"
"SHP-193","TRN-9498","SweetHaul Logistics","2025-01-20","2025-01-22"
"SHP-194","TRN-9501","SweetHaul Logistics","2023-04-18","2023-04-24"
"SHP-195","TRN-9502","FedEx","2023-06-25","2023-06-29"
"SHP-196","TRN-9518","FedEx","2025-04-13","2025-04-17"
"SHP-197","TRN-9519","ChocoExpress","2022-07-17","2022-07-21"
"SHP-198","TRN-9520","ChocoExpress","2024-08-29","2024-09-04"
"SHP-199","TRN-9521","ChocoExpress","2024-06-24","2024-06-29"
"SHP-200","TRN-9522","SweetHaul Logistics","2022-03-20","2022-03-26"
"SHP-201","TRN-9524","UPS","2022-06-12","2022-06-16"
"SHP-202","TRN-9525","SweetHaul Logistics","2023-07-21","2023-07-23"
"SHP-203","TRN-9527","SweetHaul Logistics","2022-12-31","2023-01-03"
"SHP-204","TRN-9529","FedEx","2022-09-14","2022-09-19"
"SHP-205","TRN-9530","SweetHaul Logistics","2023-07-25","2023-07-28"
"SHP-206","TRN-9531","UPS","2022-05-05","2022-05-08"
"SHP-207","TRN-9532","ChocoExpress","2022-12-09","2022-12-13"
"SHP-208","TRN-9533","UPS","2025-01-29","2025-02-01"
"SHP-209","TRN-9536","UPS","2022-03-26","2022-03-29"
"SHP-210","TRN-9538","UPS","2023-03-15","2023-03-21"
"SHP-211","TRN-9539","UPS","2023-03-07","2023-03-12"
"SHP-212","TRN-9541","ChocoExpress","2025-02-26","2025-03-02"
"SHP-213","TRN-9542","UPS","2022-06-14","2022-06-16"
"SHP-214","TRN-9544","ChocoExpress","2023-01-21","2023-01-23"
"SHP-215","TRN-9545","SweetHaul Logistics","2024-02-18","2024-02-23"
"SHP-216","TRN-9546","ChocoExpress","2022-09-14","2022-09-19"
"SHP-217","TRN-9547","UPS","2025-03-20","2025-03-24"
"SHP-218","TRN-9549","FedEx","2023-02-12","2023-02-17"
"SHP-219","TRN-9550","UPS","2024-01-11","2024-01-14"
"SHP-220","TRN-9551","SweetHaul Logistics","2024-10-27","2024-11-01"
"SHP-221","TRN-9552","SweetHaul Logistics","2024-04-04","2024-04-10"
"SHP-222","TRN-9554","UPS","2023-06-01","2023-06-05"
"SHP-223","TRN-9556","ChocoExpress","2022-06-28","2022-07-04"
"SHP-224","TRN-9558","FedEx","2024-05-09","2024-05-12"
"SHP-225","TRN-9567","UPS","2025-04-30","2025-05-06"
"SHP-226","TRN-9568","SweetHaul Logistics","2024-02-11","2024-02-13"
"SHP-227","TRN-9569","FedEx","2022-08-13","2022-08-18"
"SHP-228","TRN-9571","SweetHaul Logistics","2023-07-15","2023-07-19"
"SHP-229","TRN-9574","SweetHaul Logistics","2024-12-14","2024-12-18"
"SHP-230","TRN-9575","SweetHaul Logistics","2025-02-18","2025-02-24"
"SHP-231","TRN-9579","FedEx","2025-09-03","2025-09-07"
"SHP-232","TRN-9580","SweetHaul Logistics","2025-09-06","2025-09-09"
"SHP-233","TRN-9585","SweetHaul Logistics","2022-12-17","2022-12-19"
"SHP-234","TRN-9586","SweetHaul Logistics","2024-10-14","2024-10-18"
"SHP-235","TRN-9587","ChocoExpress","2025-03-09","2025-03-11"
"SHP-236","TRN-9588","FedEx","2024-12-19","2024-12-25"
"SHP-237","TRN-9589","UPS","2023-12-31","2024-01-04"
"SHP-238","TRN-9592","ChocoExpress","2024-12-14","2024-12-18"
"SHP-239","TRN-9596","SweetHaul Logistics","2025-10-06","2025-10-12"
"SHP-240","TRN-9598","FedEx","2023-12-26","2023-12-30"
"SHP-241","TRN-9600","FedEx","2023-10-06","2023-10-09"
"SHP-242","TRN-9603","SweetHaul Logistics","2023-04-03","2023-04-09"
"SHP-243","TRN-9607","ChocoExpress","2022-02-14","2022-02-18"
"SHP-244","TRN-9608","SweetHaul Logistics","2023-08-20","2023-08-25"
"SHP-245","TRN-9612","FedEx","2022-06-18","2022-06-21"
"SHP-246","TRN-9613","FedEx","2024-03-22","2024-03-26"
"SHP-247","TRN-9615","FedEx","2023-01-03","2023-01-05"
"SHP-248","TRN-9620","FedEx","2024-05-29","2024-06-04"
"SHP-249","TRN-9627","ChocoExpress","2025-04-22","2025-04-27"
"SHP-250","TRN-9628","UPS","2025-06-12","2025-06-18"
"SHP-251","TRN-9636","UPS","2023-04-25","2023-05-01"
"SHP-252","TRN-9638","SweetHaul Logistics","2024-05-12","2024-05-15"
"SHP-253","TRN-9639","FedEx","2022-09-26","2022-10-02"
"SHP-254","TRN-9641","UPS","2024-01-09","2024-01-11"
"SHP-255","TRN-9642","SweetHaul Logistics","2025-02-09","2025-02-12"
"SHP-256","TRN-9645","UPS","2023-11-01","2023-11-05"
"SHP-257","TRN-9649","FedEx","2024-01-23","2024-01-28"
"SHP-258","TRN-9650","ChocoExpress","2023-11-12","2023-11-15"
"SHP-259","TRN-9653","SweetHaul Logistics","2025-06-25","2025-06-29"
"SHP-260","TRN-9655","ChocoExpress","2024-01-27","2024-01-30"
"SHP-261","TRN-9656","UPS","2024-11-12","2024-11-18"
"SHP-262","TRN-9658","ChocoExpress","2025-06-23","2025-06-25"
"SHP-263","TRN-9659","ChocoExpress","2024-07-20","2024-07-22"
"SHP-264","TRN-9660","FedEx","2023-09-01","2023-09-06"
"SHP-265","TRN-9662","ChocoExpress","2024-09-18","2024-09-24"
"SHP-266","TRN-9669","UPS","2024-04-09","2024-04-15"
"SHP-267","TRN-9676","FedEx","2023-07-10","2023-07-14"
"SHP-268","TRN-9681","FedEx","2022-06-21","2022-06-25"
"SHP-269","TRN-9682","SweetHaul Logistics","2025-03-26","2025-03-31"
"SHP-270","TRN-9684","FedEx","2022-09-24","2022-09-27"
"SHP-271","TRN-9687","SweetHaul Logistics","2022-04-21","2022-04-24"
"SHP-272","TRN-9691","ChocoExpress","2023-03-16","2023-03-18"
"SHP-273","TRN-9692","ChocoExpress","2024-06-12","2024-06-18"
"SHP-274","TRN-9693","SweetHaul Logistics","2025-10-12","2025-10-15"
"SHP-275","TRN-9695","FedEx","2022-11-19","2022-11-25"
"SHP-276","TRN-9698","UPS","2022-04-02","2022-04-04"
"SHP-277","TRN-9699","ChocoExpress","2024-01-02","2024-01-05"
"SHP-278","TRN-9700","ChocoExpress","2022-09-01","2022-09-04"
"SHP-279","TRN-9701","SweetHaul Logistics","2024-12-06","2024-12-09"
"SHP-280","TRN-9703","SweetHaul Logistics","2023-01-16","2023-01-20"
"SHP-281","TRN-9707","FedEx","2023-07-30","2023-08-01"
"SHP-282","TRN-9713","SweetHaul Logistics","2025-05-10","2025-05-16"
"SHP-283","TRN-9714","FedEx","2023-03-23","2023-03-26"
"SHP-284","TRN-9715","FedEx","2025-04-15","2025-04-17"
"SHP-285","TRN-9716","ChocoExpress","2022-04-24","2022-04-30"
"SHP-286","TRN-9720","UPS","2024-02-20","2024-02-22"
"SHP-287","TRN-9721","ChocoExpress","2024-04-19","2024-04-25"
"SHP-288","TRN-9724","ChocoExpress","2024-08-07","2024-08-09"
"SHP-289","TRN-9726","ChocoExpress","2022-04-24","2022-04-26"
"SHP-290","TRN-9730","SweetHaul Logistics","2022-08-05","2022-08-10"
"SHP-291","TRN-9731","FedEx","2025-05-01","2025-05-07"
"SHP-292","TRN-9734","ChocoExpress","2022-10-26","2022-10-29"
"SHP-293","TRN-9736","ChocoExpress","2023-12-12","2023-12-16"
"SHP-294","TRN-9737","ChocoExpress","2022-02-17","2022-02-21"
"SHP-295","TRN-9738","SweetHaul Logistics","2024-06-13","2024-06-19"
"SHP-296","TRN-9742","FedEx","2023-08-02","2023-08-05"
"SHP-297","TRN-9743","FedEx","2025-08-24","2025-08-30"
"SHP-298","TRN-9748","SweetHaul Logistics","2024-11-18","2024-11-24"
"SHP-299","TRN-9749","SweetHaul Logistics","2023-10-30","2023-11-03"
"SHP-300","TRN-9753","ChocoExpress","2024-05-19","2024-05-21"
"SHP-301","TRN-9754","ChocoExpress","2023-03-19","2023-03-23"
"SHP-302","TRN-9757","ChocoExpress","2022-01-27","2022-01-30"
"SHP-303","TRN-9758","ChocoExpress","2024-12-18","2024-12-23"
"SHP-304","TRN-9759","FedEx","2023-08-20","2023-08-23"
"SHP-305","TRN-9762","FedEx","2023-10-03","2023-10-08"
"SHP-306","TRN-9766","UPS","2025-08-10","2025-08-16"
"SHP-307","TRN-9767","FedEx","2023-08-12","2023-08-15"
"SHP-308","TRN-9770","SweetHaul Logistics","2024-12-12","2024-12-16"
"SHP-309","TRN-9771","FedEx","2024-08-12","2024-08-14"
"SHP-310","TRN-9772","UPS","2025-03-17","2025-03-23"
"SHP-311","TRN-9773","UPS","2024-04-25","2024-04-28"
"SHP-312","TRN-9774","ChocoExpress","2024-04-02","2024-04-08"
"SHP-313","TRN-9777","ChocoExpress","2025-03-07","2025-03-10"
"SHP-314","TRN-9778","FedEx","2024-04-17","2024-04-21"
"SHP-315","TRN-9782","ChocoExpress","2025-05-11","2025-05-15"
"SHP-316","TRN-9786","ChocoExpress","2023-11-25","2023-12-01"
"SHP-317","TRN-9787","ChocoExpress","2022-10-16","2022-10-19"
"SHP-318","TRN-9788","SweetHaul Logistics","2025-08-21","2025-08-25"
"SHP-319","TRN-9789","SweetHaul Logistics","2022-12-19","2022-12-21"
"SHP-320","TRN-9790","FedEx","2025-04-25","2025-04-27"
"SHP-321","TRN-9798","SweetHaul Logistics","2022-03-10","2022-03-12"
"SHP-322","TRN-9801","UPS","2023-11-20","2023-11-22"
"SHP-323","TRN-9802","UPS","2023-04-14","2023-04-16"
"SHP-324","TRN-9803","SweetHaul Logistics","2023-04-08","2023-04-13"
"SHP-325","TRN-9804","SweetHaul Logistics","2024-02-19","2024-02-23"
"SHP-326","TRN-9810","SweetHaul Logistics","2022-04-07","2022-04-10"
"SHP-327","TRN-9811","SweetHaul Logistics","2022-09-28","2022-10-01"
"SHP-328","TRN-9814","UPS","2023-04-02","2023-04-06"
"SHP-329","TRN-9816","ChocoExpress","2025-04-03","2025-04-07"
"SHP-330","TRN-9819","FedEx","2024-10-20","2024-10-26"
"SHP-331","TRN-9820","UPS","2024-03-24","2024-03-30"
"SHP-332","TRN-9822","ChocoExpress","2022-03-08","2022-03-10"
"SHP-333","TRN-9823","SweetHaul Logistics","2024-01-08","2024-01-12"
"SHP-334","TRN-9829","FedEx","2024-10-23","2024-10-26"
"SHP-335","TRN-9835","UPS","2023-10-27","2023-10-31"
"SHP-336","TRN-9836","UPS","2022-05-18","2022-05-22"
"SHP-337","TRN-9838","UPS","2022-09-07","2022-09-09"
"SHP-338","TRN-9843","UPS","2022-01-04","2022-01-09"
"SHP-339","TRN-9844","FedEx","2022-02-12","2022-02-17"
"SHP-340","TRN-9845","UPS","2022-12-03","2022-12-08"
"SHP-341","TRN-9846","SweetHaul Logistics","2022-06-10","2022-06-14"
"SHP-342","TRN-9850","SweetHaul Logistics","2025-04-29","2025-05-04"
"SHP-343","TRN-9852","UPS","2025-04-05","2025-04-09"
"SHP-344","TRN-9858","SweetHaul Logistics","2024-03-17","2024-03-23"
"SHP-345","TRN-9865","SweetHaul Logistics","2024-08-09","2024-08-15"
"SHP-346","TRN-9867","ChocoExpress","2023-09-07","2023-09-09"
"SHP-347","TRN-9870","FedEx","2022-07-02","2022-07-06"
"SHP-348","TRN-9879","FedEx","2022-04-25","2022-04-30"
"SHP-349","TRN-9881","UPS","2025-07-08","2025-07-10"
"SHP-350","TRN-9882","ChocoExpress","2022-04-29","2022-05-05"
"SHP-351","TRN-9884","UPS","2022-10-27","2022-11-02"
"SHP-352","TRN-9885","SweetHaul Logistics","2024-11-08","2024-11-10"
"SHP-353","TRN-9887","SweetHaul Logistics","2022-08-17","2022-08-20"
"SHP-354","TRN-9888","FedEx","2023-10-04","2023-10-10"
"SHP-355","TRN-9894","UPS","2022-03-14","2022-03-18"
"SHP-356","TRN-9897","FedEx","2024-11-09","2024-11-13"
"SHP-357","TRN-9900","SweetHaul Logistics","2022-03-25","2022-03-31"
"SHP-358","TRN-9908","ChocoExpress","2022-02-26","2022-02-28"
"SHP-359","TRN-9910","UPS","2023-12-07","2023-12-12"
"SHP-360","TRN-9911","UPS","2023-05-15","2023-05-19"
"SHP-361","TRN-9912","FedEx","2023-04-30","2023-05-06"
"SHP-362","TRN-9913","UPS","2023-11-26","2023-12-02"
"SHP-363","TRN-9914","ChocoExpress","2023-06-04","2023-06-10"
"SHP-364","TRN-9917","FedEx","2024-02-24","2024-02-27"
"SHP-365","TRN-9919","FedEx","2022-03-13","2022-03-15"
"SHP-366","TRN-9920","SweetHaul Logistics","2022-12-04","2022-12-07"
"SHP-367","TRN-9923","FedEx","2022-03-22","2022-03-27"
"SHP-368","TRN-9925","SweetHaul Logistics","2025-04-08","2025-04-11"
"SHP-369","TRN-9927","FedEx","2023-08-11","2023-08-17"
"SHP-370","TRN-9930","UPS","2023-01-07","2023-01-10"
"SHP-371","TRN-9933","ChocoExpress","2025-06-23","2025-06-25"
"SHP-372","TRN-9935","UPS","2023-08-01","2023-08-03"
"SHP-373","TRN-9937","ChocoExpress","2023-12-08","2023-12-11"
"SHP-374","TRN-9939","FedEx","2024-12-04","2024-12-07"
"SHP-375","TRN-9941","ChocoExpress","2025-08-19","2025-08-24"
"SHP-376","TRN-9942","FedEx","2023-02-10","2023-02-13"
"SHP-377","TRN-9943","FedEx","2022-12-14","2022-12-19"
"SHP-378","TRN-9945","SweetHaul Logistics","2024-10-11","2024-10-16"
"SHP-379","TRN-9946","FedEx","2024-09-04","2024-09-09"
"SHP-380","TRN-9948","FedEx","2024-09-20","2024-09-22"
"SHP-381","TRN-9949","UPS","2025-05-28","2025-06-03"
"SHP-382","TRN-9954","FedEx","2022-02-01","2022-02-05"
"SHP-383","TRN-9955","UPS","2024-07-20","2024-07-25"
"SHP-384","TRN-9956","UPS","2023-03-04","2023-03-07"
"SHP-385","TRN-9958","UPS","2023-11-07","2023-11-11"
"SHP-386","TRN-9962","SweetHaul Logistics","2022-05-17","2022-05-20"
"SHP-387","TRN-9964","UPS","2024-02-19","2024-02-21"
